SKU,Category,Brand_ID,Back_Room_ID,On_Floor_ID, Price ,Total_inventory_quantity,Current,Essential_item,
1,Special Event Item,6,55,40, $90.00 ,14,1,0,
2,Special Event Item,6,65,90, $45.00 ,30,1,0,
3,Special Event Item,6,35,50, $120.00 ,23,1,0,
4,Special Event Item,7,25,20, $35.00 ,44,1,0,
5,Special Event Item,7,45,30, $12.00 ,34,1,0,
6,Special Event Item,7,95,90, $7.00 ,39,1,0,
7,Special Event Item,1,25,50, $15.00 ,11,1,0,
8,Special Event Item,2,85,50, $25.00 ,16,1,0,
9,Special Event Item,1,65,80, $20.00 ,31,1,0,
10,Special Event Item,1,5,60, $10.00 ,0,1,0,
11,Special Event Item,1,15,50, $30.00 ,36,1,0,
12,Special Event Item,1,35,30, $25.00 ,33,1,0,
13,Special Event Item,2,75,30, $25.00 ,23,1,0,
14,Special Event Item,2,85,70, $5.00 ,50,1,0,
15,Special Event Item,3,5,10, $35.00 ,31,1,0,
16,Special Event Item,3,55,80, $50.00 ,41,1,0,
17,Special Event Item,5,85,70, $10.00 ,49,1,0,
18,Decoration Item,8,35,70, $10.00 ,18,1,0,
19,Decoration Item,9,45,80, $10.00 ,24,1,0,
20,Decoration Item,8,85,50, $25.00 ,48,1,0,
21,Decoration Item,9,35,10, $25.00 ,47,1,0,
22,Decoration Item,8,15,80, $8.00 ,51,1,0,
23,Decoration Item,9,95,60, $8.00 ,42,1,0,
24,Decoration Item,8,75,60, $10.00 ,53,1,0,
25,Decoration Item,8,25,80, $15.00 ,51,1,0,
26,Decoration Item,9,25,20, $12.00 ,23,1,0,
27,Office Supply Item,10,65,30, $10.00 ,14,1,0,
28,Office Supply Item,11,5,50, $10.00 ,70,1,0,
29,Office Supply Item,10,25,20, $5.00 ,33,1,1,
30,Office Supply Item,10,75,50, $10.00 ,38,1,1,
31,Office Supply Item,11,75,80, $10.00 ,5,1,0,
32,Office Supply Item,10,95,40, $2.00 ,29,1,1,
33,Office Supply Item,11,95,80, $2.00 ,51,1,0,
34,Office Supply Item,10,35,60, $10.00 ,25,1,1,
35,Office Supply Item,11,25,40, $10.00 ,0,1,0,
36,Bag Item,14,25,50, $20.00 ,0,1,0,
37,Bag Item,15,85,60, $20.00 ,43,1,0,
38,Accessory Item,14,65,40, $5.00 ,27,1,0,
39,Accessory Item,15,45,30, $5.00 ,45,1,0,
40,Accessory Item,1,15,80, $10.00 ,29,1,0,
41,Accessory Item,5,55,20, $12.00 ,22,1,0,
42,Accessory Item,14,45,100, $15.00 ,27,1,0,
43,Accessory Item,15,95,60, $15.00 ,54,1,0,
44,Accessory Item,1,5,80, $10.00 ,17,1,0,
45,Accessory Item,3,75,40, $10.00 ,56,1,0,
46,Accessory Item,5,35,60, $10.00 ,48,1,0,
47,Accessory Item,14,15,60, $5.00 ,24,1,0,
48,Clothing Item,1,85,20, $10.00 ,24,1,1,
49,Clothing Item,1,55,70, $12.00 ,33,1,1,
50,Clothing Item,1,85,60, $15.00 ,44,1,1,
51,Clothing Item,1,15,70, $20.00 ,22,1,1,
52,Clothing Item,2,55,30, $25.00 ,5,1,0,
53,Clothing Item,2,15,60, $10.00 ,16,1,0,
54,Clothing Item,2,85,50, $12.00 ,32,1,0,
55,Clothing Item,3,95,70, $15.00 ,34,1,0,
56,Clothing Item,3,45,60, $20.00 ,18,1,0,
57,Clothing Item,4,65,80, $25.00 ,50,1,0,
58,Clothing Item,4,95,60, $25.00 ,44,1,0,
59,Clothing Item,5,15,50, $20.00 ,31,1,0,
60,Clothing Item,1,35,10, $20.00 ,38,1,1,
61,Clothing Item,1,65,60, $20.00 ,53,1,1,
62,Clothing Item,1,65,60, $20.00 ,47,1,1,
63,Clothing Item,1,5,30, $40.00 ,13,1,1,
64,Clothing Item,1,5,20, $40.00 ,35,1,0,
65,Clothing Item,2,75,70, $40.00 ,15,1,0,
66,Clothing Item,2,65,20, $45.00 ,37,1,0,
67,Clothing Item,2,45,80, $45.00 ,44,1,0,
68,Clothing Item,2,5,40, $50.00 ,23,1,0,
69,Clothing Item,3,95,100, $50.00 ,23,1,0,
70,Clothing Item,3,85,90, $55.00 ,30,1,0,
71,Clothing Item,3,75,100, $80.00 ,23,1,0,
72,Clothing Item,4,25,50, $100.00 ,55,1,0,
73,Clothing Item,4,75,90, $120.00 ,22,1,0,
74,Clothing Item,5,75,90, $130.00 ,32,1,0,
75,Clothing Item,1,65,60, $25.00 ,21,1,0,
76,Clothing Item,1,95,80, $30.00 ,34,1,0,
77,Clothing Item,1,5,50, $40.00 ,33,1,0,
78,Clothing Item,1,55,60, $30.00 ,0,1,0,
79,Clothing Item,3,55,100, $25.00 ,19,1,0,
80,Clothing Item,12,35,90, $25.00 ,26,1,0,
81,Clothing Item,12,55,50, $25.00 ,23,1,0,
82,Clothing Item,13,75,50, $25.00 ,0,1,0,
83,Clothing Item,1,45,50, $10.00 ,16,1,0,
84,Clothing Item,1,15,10, $15.00 ,42,1,0,
85,Clothing Item,3,5,20, $30.00 ,22,1,0,
86,Clothing Item,1,15,100, $20.00 ,67,1,1,
87,Clothing Item,1,35,10, $20.00 ,52,1,1,
88,Clothing Item,2,45,50, $25.00 ,34,1,1,
89,Clothing Item,2,45,60, $25.00 ,7,1,1,
90,Clothing Item,3,55,20, $40.00 ,24,1,0,
91,Clothing Item,4,25,20, $45.00 ,41,1,1,
92,Clothing Item,4,15,50, $50.00 ,20,1,0,
93,Clothing Item,5,65,40, $70.00 ,25,1,0,
94,Other,14,35,60, $10.00 ,65,1,0,
95,Other,1,5,50, $20.00 ,33,1,0,
96,Other,15,45,60, $30.00 ,27,1,0,
97,Other,14,85,100, $50.00 ,23,1,0,
98,Other,15,25,50, $10.00 ,36,1,0,
99,Other,14,95,90, $20.00 ,26,1,0,
100,Other,15,55,50, $25.00 ,34,1,0,
